playoff_teams,playoff_year_range,id
New York Islanders,19811982,2
Vancouver Canucks,19811982,23
Chicago Black Hawks,19811982,16
Quebec Nordiques,19811982,100
Boston Bruins,19811982,6
St. Louis Blues,19811982,19
New York Rangers,19811982,3
Los Angeles Kings,19811982,26
Edmonton Oilers,19811982,22
Pittsburgh Penguins,19811982,5
Montreal Canadiens,19811982,8
Buffalo Sabres,19811982,7
Winnipeg Jets,19811982,52
Philadelphia Flyers,19811982,4
Minnesota North Stars,19811982,100
Calgary Flames,19811982,20
New York Islanders,19821983,2
Edmonton Oilers,19821983,22
Boston Bruins,19821983,6
Chicago Black Hawks,19821983,16
Buffalo Sabres,19821983,7
New York Rangers,19821983,3
Minnesota North Stars,19821983,100
Calgary Flames,19821983,20
Quebec Nordiques,19821983,100
Washington Capitals,19821983,15
Toronto Maple Leafs,19821983,10
Vancouver Canucks,19821983,23
St. Louis Blues,19821983,19
Philadelphia Flyers,19821983,4
Montreal Canadiens,19821983,8
Winnipeg Jets,19821983,52
Edmonton Oilers,19831984,22
New York Islanders,19831984,2
Montreal Canadiens,19831984,8
Minnesota North Stars,19831984,100
Calgary Flames,19831984,20
St. Louis Blues,19831984,19
Quebec Nordiques,19831984,100
Washington Capitals,19831984,15
New York Rangers,19831984,3
Chicago Black Hawks,19831984,16
Detroit Red Wings,19831984,17
Vancouver Canucks,19831984,23
Buffalo Sabres,19831984,7
Boston Bruins,19831984,6
Philadelphia Flyers,19831984,4
Winnipeg Jets,19831984,52
Edmonton Oilers,19841985,22
Philadelphia Flyers,19841985,4
Chicago Black Hawks,19841985,16
Quebec Nordiques,19841985,100
Montreal Canadiens,19841985,8
Minnesota North Stars,19841985,100
New York Islanders,19841985,2
Winnipeg Jets,19841985,52
Boston Bruins,19841985,6
Washington Capitals,19841985,15
Buffalo Sabres,19841985,7
Calgary Flames,19841985,20
Los Angeles Kings,19841985,26
Detroit Red Wings,19841985,17
St. Louis Blues,19841985,19
New York Rangers,19841985,3
Montreal Canadiens,19851986,8
Calgary Flames,19851986,20
St. Louis Blues,19851986,19
New York Rangers,19851986,3
Edmonton Oilers,19851986,22
Toronto Maple Leafs,19851986,10
Hartford Whalers,19851986,100
Washington Capitals,19851986,15
Philadelphia Flyers,19851986,4
Minnesota North Stars,19851986,100
Winnipeg Jets,19851986,52
Chicago Black Hawks,19851986,16
New York Islanders,19851986,2
Quebec Nordiques,19851986,100
Boston Bruins,19851986,6
Vancouver Canucks,19851986,23
Edmonton Oilers,19861987,22
Philadelphia Flyers,19861987,4
Montreal Canadiens,19861987,8
Detroit Red Wings,19861987,17
Toronto Maple Leafs,19861987,10
Quebec Nordiques,19861987,100
New York Islanders,19861987,2
Winnipeg Jets,19861987,52
Washington Capitals,19861987,15
Calgary Flames,19861987,20
St. Louis Blues,19861987,19
New York Rangers,19861987,3
Hartford Whalers,19861987,100
Los Angeles Kings,19861987,26
Chicago Blackhawks,19861987,16
Boston Bruins,19861987,6
Edmonton Oilers,19871988,22
Boston Bruins,19871988,6
New Jersey Devils,19871988,1
Detroit Red Wings,19871988,17
Washington Capitals,19871988,15
St. Louis Blues,19871988,19
Montreal Canadiens,19871988,8
Calgary Flames,19871988,20
Philadelphia Flyers,19871988,4
Buffalo Sabres,19871988,7
New York Islanders,19871988,2
Hartford Whalers,19871988,100
Toronto Maple Leafs,19871988,10
Los Angeles Kings,19871988,26
Chicago Blackhawks,19871988,16
Winnipeg Jets,19871988,52
Calgary Flames,19881989,20
Montreal Canadiens,19881989,8
Philadelphia Flyers,19881989,4
Chicago Blackhawks,19881989,16
Pittsburgh Penguins,19881989,5
Boston Bruins,19881989,6
St. Louis Blues,19881989,19
Los Angeles Kings,19881989,26
Vancouver Canucks,19881989,23
Edmonton Oilers,19881989,22
Washington Capitals,19881989,15
Detroit Red Wings,19881989,17
Buffalo Sabres,19881989,7
Minnesota North Stars,19881989,100
New York Rangers,19881989,3
Hartford Whalers,19881989,100
Edmonton Oilers,19891990,22
Boston Bruins,19891990,6
Chicago Blackhawks,19891990,16
Washington Capitals,19891990,15
St. Louis Blues,19891990,19
New York Rangers,19891990,3
Montreal Canadiens,19891990,8
Los Angeles Kings,19891990,26
Minnesota North Stars,19891990,100
Hartford Whalers,19891990,100
Winnipeg Jets,19891990,52
Calgary Flames,19891990,20
New Jersey Devils,19891990,1
Buffalo Sabres,19891990,7
New York Islanders,19891990,2
Toronto Maple Leafs,19891990,10
Pittsburgh Penguins,19901991,5
Minnesota North Stars,19901991,100
Boston Bruins,19901991,6
Edmonton Oilers,19901991,22
Montreal Canadiens,19901991,8
Los Angeles Kings,19901991,26
St. Louis Blues,19901991,19
Washington Capitals,19901991,15
Detroit Red Wings,19901991,17
Calgary Flames,19901991,20
New Jersey Devils,19901991,1
New York Rangers,19901991,3
Buffalo Sabres,19901991,7
Hartford Whalers,19901991,100
Vancouver Canucks,19901991,23
Chicago Blackhawks,19901991,16
Pittsburgh Penguins,19911992,5
Chicago Blackhawks,19911992,16
Boston Bruins,19911992,6
Edmonton Oilers,19911992,22
New York Rangers,19911992,3
Vancouver Canucks,19911992,23
Detroit Red Wings,19911992,17
Montreal Canadiens,19911992,8
Minnesota North Stars,19911992,100
Washington Capitals,19911992,15
New Jersey Devils,19911992,1
Hartford Whalers,19911992,100
Buffalo Sabres,19911992,7
Winnipeg Jets,19911992,52
St. Louis Blues,19911992,19
Los Angeles Kings,19911992,26
Montreal Canadiens,19921993,8
Los Angeles Kings,19921993,26
Toronto Maple Leafs,19921993,10
New York Islanders,19921993,2
St. Louis Blues,19921993,19
Pittsburgh Penguins,19921993,5
Vancouver Canucks,19921993,23
Buffalo Sabres,19921993,7
Detroit Red Wings,19921993,17
Calgary Flames,19921993,20
Winnipeg Jets,19921993,52
Washington Capitals,19921993,15
Quebec Nordiques,19921993,100
New Jersey Devils,19921993,1
Chicago Blackhawks,19921993,16
Boston Bruins,19921993,6
New York Rangers,19931994,3
Vancouver Canucks,19931994,23
New Jersey Devils,19931994,1
Toronto Maple Leafs,19931994,10
San Jose Sharks,19931994,28
Boston Bruins,19931994,6
Dallas Stars,19931994,25
Washington Capitals,19931994,15
Buffalo Sabres,19931994,7
Montreal Canadiens,19931994,8
Detroit Red Wings,19931994,17
Calgary Flames,19931994,20
Chicago Blackhawks,19931994,16
Pittsburgh Penguins,19931994,5
St. Louis Blues,19931994,19
New York Islanders,19931994,2
New Jersey Devils,19941995,1
Detroit Red Wings,19941995,17
Philadelphia Flyers,19941995,4
Chicago Blackhawks,19941995,16
Pittsburgh Penguins,19941995,5
New York Rangers,19941995,3
Vancouver Canucks,19941995,23
San Jose Sharks,19941995,28
Washington Capitals,19941995,15
St. Louis Blues,19941995,19
Toronto Maple Leafs,19941995,10
Calgary Flames,19941995,20
Quebec Nordiques,19941995,100
Boston Bruins,19941995,6
Buffalo Sabres,19941995,7
Dallas Stars,19941995,25
Colorado Avalanche,19951996,21
Florida Panthers,19951996,13
Pittsburgh Penguins,19951996,5
Detroit Red Wings,19951996,17
St. Louis Blues,19951996,19
Chicago Blackhawks,19951996,16
Philadelphia Flyers,19951996,4
New York Rangers,19951996,3
Montreal Canadiens,19951996,8
Vancouver Canucks,19951996,23
Washington Capitals,19951996,15
Winnipeg Jets,19951996,52
Toronto Maple Leafs,19951996,10
Tampa Bay Lightning,19951996,14
