penalty_kill_percentage,shooting_pctg,save_pctg,failed_shots_per_game,saves_per_game,missed_playoffs
75.3,10.9,86.3,23.5112625,27.616,1
81.5,14.7,89.9,25.824575,30.015362500000002,0
78.1,12.3,88.0,27.9653375,27.764,0
76.6,11.9,87.3,32.37675,25.01145,0
76.0,11.2,86.6,25.1637,31.479100000000003,1
83.1,14.0,87.5,25.76775,22.903125,0
82.0,13.2,88.0,25.920650000000002,23.616999999999997,0
79.7,12.5,85.7,25.068749999999998,22.0249,0
73.6,12.9,86.3,25.5747375,30.550199999999997,1
86.4,12.2,88.4,27.81065,21.5917,0
78.3,11.3,87.7,27.18655,27.7132,0
75.2,12.8,86.0,25.3752,24.8755,0
74.8,12.1,86.8,26.655675,26.04,0
80.2,12.1,88.1,28.1829375,28.951862499999997,0
79.7,17.1,88.1,27.0564875,29.084012500000004,0
76.4,12.3,86.1,27.340475,25.3241625,0
72.1,12.5,85.2,27.0265625,26.99775,1
76.7,11.1,85.5,26.392187500000002,25.575187500000002,1
82.2,14.3,88.0,25.8706875,28.523,0
80.6,12.4,87.7,26.1048,30.793662499999996,0
79.8,12.9,89.9,29.352700000000002,26.812675,0
76.0,12.3,87.0,24.665625,32.222625,1
79.8,12.6,86.8,26.22,23.620449999999998,0
82.4,12.6,87.5,25.225825,20.7921875,0
79.2,12.8,86.7,26.3344,21.37155,0
73.9,10.9,86.4,25.905825,28.404,1
77.1,12.6,88.4,27.90245,22.8072,0
77.2,12.9,88.7,26.0973375,29.392962500000003,0
73.3,13.8,85.8,24.50235,27.027,0
76.1,12.0,87.9,27.346,26.2051875,0
74.2,13.0,87.9,30.395625,27.4248,0
78.3,15.5,88.7,27.4096875,29.13795,0
70.5,11.4,84.89999999999999,27.609975000000002,28.2398625,1
81.9,13.3,86.6,27.6464625,26.272274999999997,0
74.2,12.9,85.0,25.411425,26.488125,1
78.4,13.9,89.3,25.313399999999998,29.681087499999997,0
77.8,11.0,88.5,28.32425,26.527875,0
82.8,12.3,89.60000000000001,29.927625,25.8832,0
77.0,12.9,87.7,26.325975,27.2856625,1
76.0,12.6,86.8,26.886425,23.685550000000003,0
80.5,12.3,87.8,26.288075000000003,26.241225,1
79.3,14.0,87.1,25.3055,23.6149875,0
77.3,12.4,86.1,27.4407,29.8444125,0
81.0,13.0,87.7,26.361,24.2929,0
77.9,13.5,87.5,28.0584375,30.526562500000004,0
71.0,11.7,84.2,25.1655,27.6597,1
77.2,12.0,88.7,27.665,28.60575,0
76.2,12.8,87.5,30.1385,27.496875,0
81.1,16.1,88.8,27.739437499999998,30.835800000000003,0
78.6,11.9,86.2,26.011525,26.021625,0
71.9,11.7,85.1,26.7549,27.763875,1
73.2,12.4,86.3,25.80915,29.0291625,1
78.0,11.2,87.4,27.5391,24.329974999999997,0
81.1,12.4,87.4,27.0684,27.935225,0
82.2,12.8,90.0,26.3126,27.64125,0
76.1,12.2,87.7,26.62535,25.82765,1
81.5,12.5,88.3,26.3046875,26.1368,0
75.6,11.5,86.8,26.837625,25.22625,1
83.3,12.4,88.9,24.528,24.114125,0
78.0,11.9,87.7,26.540125,28.4476875,0
80.9,12.5,88.2,24.871875,26.04105,0
76.2,11.3,88.6,28.395087500000002,30.01325,0
78.6,12.0,88.1,23.914,25.3838125,0
81.4,12.0,87.6,25.817,25.8858,0
79.8,12.6,88.1,27.6184,26.716325,0
80.0,15.8,88.0,24.807425,26.07,0
75.9,11.9,86.2,26.187725,24.577775,1
73.1,12.9,86.3,26.9247875,26.860875,0
78.4,12.3,86.8,26.26615,24.304,0
77.4,12.7,89.4,26.3755125,28.261575,0
