goals_per_game,goals_against_per_game,power_play_percentage,penalty_kill_percentage,shots_per_game,shots_allowed,shooting_pctg,save_pctg,failed_shots_per_game,saves_per_game,ties,power_play_efficiency,aboveAvgAdjWins
2.888,4.375,14.3,75.3,26.3875,32.0,10.9,86.3,23.5112625,27.616,7,-0.08539944903581267,-19.470588235294116
4.463,3.363,22.5,81.5,30.275,33.3875,14.7,89.9,25.824575,30.015362500000002,4,-0.010714285714285714,12.029411764705884
3.925,3.8,25.1,78.1,31.8875,31.55,12.3,88.0,27.9653375,27.764,9,-0.006779661016949152,6.529411764705884
4.375,3.625,20.2,76.6,36.75,28.65,11.9,87.3,32.37675,25.01145,10,-0.06624605678233439,9.029411764705884
3.175,4.875,20.9,76.0,28.3375,36.35,11.2,86.6,25.1637,31.479100000000003,6,-0.04424778761061947,-20.970588235294116
4.2,3.263,24.0,83.1,29.9625,26.175,14.0,87.5,25.76775,22.903125,6,0.07602339181286549,12.029411764705884
3.938,3.213,22.0,82.0,29.8625,26.8375,13.2,88.0,25.920650000000002,23.616999999999997,7,0.06501547987616099,11.529411764705884
3.575,3.688,20.1,79.7,28.65,25.7,12.5,85.7,25.068749999999998,22.0249,5,0.01020408163265306,-2.470588235294116
3.788,4.838,21.7,73.6,29.3625,35.4,12.9,86.3,25.5747375,30.550199999999997,9,-0.04960835509138381,-9.470588235294116
3.85,2.825,20.2,86.4,31.675,24.425,12.2,88.4,27.81065,21.5917,5,0.09711286089238845,10.529411764705884
3.463,3.888,20.2,78.3,30.65,31.6,11.3,87.7,27.18655,27.7132,8,-0.02108433734939759,-5.970588235294116
3.725,4.038,22.2,75.2,29.1,28.925,12.8,86.0,25.3752,24.8755,7,0.0056179775280898875,-5.470588235294116
3.663,3.95,22.4,74.8,30.325,30.0,12.1,86.8,26.655675,26.04,7,-0.036931818181818184,-4.470588235294116
3.888,3.925,21.6,80.2,32.0625,32.8625,12.1,88.1,28.1829375,28.951862499999997,14,0.003367003367003367,1.029411764705884
